ablation_type,function,dimensions,run_id,final_fitness,total_evaluations,improvement_ratio,local_search_calls,plateau_escapes,basin_searches,final_exploration_scale,final_exploitation_scale,runtime_seconds
no_surrogate,Ackley,10,8,1.937780824690094e-08,75339,1042961007.195291,1,0,5,0.17,0.005,1.1988060474395752
no_surrogate,Ackley,10,9,1.8375125865333075e-08,92536,995242966.2063376,1,0,5,0.17,0.005,1.4990074634552002
no_surrogate,Ackley,10,10,1.9978419363297917e-08,74355,950397377.9407465,1,0,5,0.17,0.005,1.1567399501800537
no_escape_mechanisms,Ackley,10,1,1.9734308853713856e-08,4831,970732426.4658803,1,0,0,0.17,0.005,2.6000845432281494
no_escape_mechanisms,Ackley,10,2,1.7110018735166932e-08,4078,1085824052.8308625,1,0,0,0.17,0.005,1.4898557662963867
no_escape_mechanisms,Ackley,10,3,0.005742256161639592,8924,3419.236142793163,0,0,0,0.17,0.005,2.443403482437134
no_escape_mechanisms,Ackley,10,4,1.9721785537996084e-08,4666,1000235297.9453193,1,0,0,0.17,0.005,2.262798547744751
no_escape_mechanisms,Ackley,10,5,0.004163167644787524,9072,4561.987958636175,0,0,0,0.17,0.005,2.7047224044799805
no_escape_mechanisms,Ackley,10,6,0.0034968022224366457,13823,5570.12345458592,0,0,0,0.17,0.005,4.0609729290008545
no_escape_mechanisms,Ackley,10,7,1.9830569630840955e-08,13594,1001527744.924874,1,0,0,0.1696,0.005,5.007108211517334
no_escape_mechanisms,Ackley,10,8,1.914823544169053e-08,7563,1055465317.834045,1,0,0,0.17,0.005,3.09881329536438
no_escape_mechanisms,Ackley,10,9,0.009571047758161644,8417,1910.7327883756682,0,0,0,0.17,0.005,1.6577212810516357
no_escape_mechanisms,Ackley,10,10,0.0003110080848469643,16797,61051.26619979028,0,0,0,0.031400000000000004,0.00893,5.271885633468628
no_population_decay,Ackley,10,1,0.009253762241055785,8347,2070.156226102381,0,0,4,0.17,0.005,1.3983564376831055
no_population_decay,Ackley,10,2,1.973474228478267e-08,4555,941409298.329509,1,0,5,0.17,0.005,1.3499221801757812
no_population_decay,Ackley,10,3,0.007231158069022303,8248,2715.212365937049,0,0,4,0.17,0.005,1.3510544300079346
no_population_decay,Ackley,10,4,1.86631834431239e-08,6282,1056970055.1745385,1,0,5,0.17,0.005,2.7651309967041016
no_population_decay,Ackley,10,5,1.8654013889118914e-08,4722,1018135870.2848847,1,0,5,0.17,0.005,1.3825738430023193
no_population_decay,Ackley,10,6,0.010562300265921198,8501,1844.069907583126,0,0,4,0.17,0.005,1.396575927734375
no_population_decay,Ackley,10,7,0.007530432248064489,8435,2637.4137670591986,0,0,4,0.17,0.005,1.3821799755096436
no_population_decay,Ackley,10,8,1.9596353428852353e-08,5644,1031329552.1945801,1,0,5,0.17,0.005,2.5417592525482178
no_population_decay,Ackley,10,9,1.7324318424272178e-08,6919,1055609480.4287909,1,0,5,0.17,0.005,2.755479097366333
no_population_decay,Ackley,10,10,0.01035318301926269,9181,1833.9709964512135,0,0,4,0.17,0.005,1.799391269683838
no_diversity_restart,Ackley,10,1,0.0012370342444332216,17860,15486.017144957774,0,0,5,0.17,0.005,4.615880489349365
no_diversity_restart,Ackley,10,2,1.7110018735166932e-08,4723,1085824052.8308625,1,0,5,0.17,0.005,1.484525442123413
no_diversity_restart,Ackley,10,3,0.004731878969025605,10498,4149.33051702671,0,0,5,0.17,0.005,2.416447639465332
no_diversity_restart,Ackley,10,4,1.9721785537996084e-08,5192,1000235297.9453193,1,0,5,0.17,0.005,2.1828601360321045
no_diversity_restart,Ackley,10,5,1.9493402891868072e-08,7153,974294779.1443487,1,0,5,0.17,0.005,2.6618294715881348
no_diversity_restart,Ackley,10,6,1.915943714791979e-08,13479,1016607112.4567084,1,0,5,0.17,0.005,4.4927449226379395
no_diversity_restart,Ackley,10,7,1.9400275608205675e-08,5664,1023741419.1451663,1,0,5,0.17,0.005,2.413907527923584
no_diversity_restart,Ackley,10,8,0.00413056507417453,12921,4892.86527230513,0,0,5,0.17,0.005,3.359394073486328
no_diversity_restart,Ackley,10,9,0.009571047758161644,8983,1910.7327883756682,0,0,4,0.17,0.005,1.5933573246002197
no_diversity_restart,Ackley,10,10,1.972623708823562e-08,9662,962547357.2758969,1,0,5,0.17,0.005,3.6194069385528564
no_de_operator,Ackley,10,1,0.00853060860570709,8743,2245.6467531960902,0,0,4,0.17,0.005,1.7644696235656738
no_de_operator,Ackley,10,2,0.014286004424090226,9315,1300.4664800258925,0,0,4,0.17,0.005,1.4760518074035645
no_de_operator,Ackley,10,3,0.01509875059211696,8992,1300.3810937380333,0,0,4,0.17,0.005,1.750121831893921
no_de_operator,Ackley,10,4,0.012850194569999918,8896,1535.1071865996912,0,0,4,0.17,0.005,1.7446138858795166
no_de_operator,Ackley,10,5,0.006914085344896126,8290,2746.9028393356843,0,0,4,0.17,0.005,1.4291095733642578
no_de_operator,Ackley,10,6,0.009443922475739885,8952,2062.450229264144,0,0,4,0.17,0.005,1.519075870513916
no_de_operator,Ackley,10,7,0.007703068114242928,9051,2578.3058631182566,0,0,4,0.17,0.005,1.627863883972168
no_de_operator,Ackley,10,8,0.008466992627742531,8546,2386.951222823196,0,0,4,0.17,0.005,1.4823477268218994
no_de_operator,Ackley,10,9,0.01325162583402717,8056,1380.0355518392453,0,0,4,0.17,0.005,1.6705284118652344
no_de_operator,Ackley,10,10,0.011549649409257956,9103,1643.9838739225322,0,0,4,0.17,0.005,1.6689541339874268
baseline,Ackley,30,1,1.9629496694761883e-08,19631,1033890119.6708401,1,0,5,0.17,0.005,6.263344764709473
baseline,Ackley,30,2,0.015965249459729325,22293,1303.5113040936908,0,0,4,0.17,0.005,2.3951265811920166
baseline,Ackley,30,3,1.9979964793748195e-08,11100,1033400842.0745552,1,0,5,0.17,0.005,5.0284950733184814
baseline,Ackley,30,4,0.01584504618490401,22088,1306.2640442557704,0,0,4,0.17,0.005,2.5315346717834473
baseline,Ackley,30,5,1.999585252931979e-08,11818,1021292666.4821101,1,0,5,0.17,0.005,4.964752674102783
baseline,Ackley,30,6,1.9492656821995524e-08,14433,1040710799.0476462,1,0,5,0.17,0.005,5.046068906784058
baseline,Ackley,30,7,1.9715838295297772e-08,9884,1053245053.6741441,1,0,5,0.17,0.005,4.243344068527222
